factor,environment,factor_value_numeric,n_seeds,per_member_rows,unique_rows,p,nominal_n_over_p,unique_n_over_p,id_rmse,far_nll,far_auroc,far_spearman,gram_condition
bootfull,Pusher-v5,0.5,25,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,0.05415484443306919,1.105071280002594,0.9996607728,0.7622610208172713,1238311635.4145255
bootfull,Pusher-v5,0.99,25,9900.0,6284.0,201.0,49.25373134328358,31.2636815920398,0.054143697470426515,1.1537658953666687,0.9995993196,0.7539781124972658,1238311635.4145255
bootfull,Reacher-v5,0.0,25,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,0.08481715470552441,1.3589097046852112,0.9885193033999999,0.8840802487890899,430054.52329067216
bootfull,Reacher-v5,0.01,25,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.08753423452377314,0.08583110861480232,0.9888470486,0.87840078176881,430054.52329067216
bootfull,Reacher-v5,0.02,25,200.0,198.0,201.0,0.9950248756218906,0.9850746268656717,0.08951969087123865,0.0902633003890514,0.9932829028000001,0.884382568269358,430054.52329067216
bootfull,Reacher-v5,0.03,25,300.0,296.0,201.0,1.492537313432836,1.472636815920398,0.08595594286918637,0.01996494347229599,0.9900936490000001,0.8915833424954096,430054.52329067216
bootfull,Reacher-v5,0.05,25,500.0,488.0,201.0,2.487562189054726,2.427860696517413,0.08527399301528928,0.28271431314758955,0.9893708094,0.8892353069595599,430054.52329067216
bootfull,Reacher-v5,0.1,25,1000.0,952.0,201.0,4.975124378109452,4.736318407960199,0.08503735423088069,0.6788292473554611,0.9891599809999999,0.8853843855903992,430054.52329067216
bootfull,Reacher-v5,0.2,25,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,0.084908378124237,0.9538445544242858,0.9888913342,0.8868847337570113,430054.52329067216
bootfull,Reacher-v5,0.3,25,3000.0,2592.0,201.0,14.92537313432836,12.895522388059698,0.08485934168100354,1.0778919768333435,0.9888181274,0.885282803092018,430054.52329067216
bootfull,Reacher-v5,0.5,25,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,0.08484341144561763,1.171815845966339,0.988711119,0.8830530585259072,430054.52329067216
bootfull,Reacher-v5,0.99,25,9900.0,6284.0,201.0,49.25373134328358,31.2636815920398,0.08482654899358746,1.2513288688659667,0.9886347364,0.8820131146840418,430054.52329067216
bootfull,Swimmer-v5,0.0,25,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,0.030567474141716913,1.0539796376228332,0.9996907692000001,0.6047508822797366,8235450.736601556
bootfull,Swimmer-v5,0.01,25,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.08396973185241219,1.0876486897468567,0.987878721,0.6598953104456028,8235450.736601556
bootfull,Swimmer-v5,0.02,25,200.0,198.0,201.0,0.9950248756218906,0.9850746268656717,0.07716599315404887,1.4213525676727294,0.9945900183999999,0.7372013178249466,8235450.736601556
bootfull,Swimmer-v5,0.03,25,300.0,296.0,201.0,1.492537313432836,1.472636815920398,0.03318593859672542,0.6794673824310302,0.998662906,0.6430448414211907,8235450.736601556
bootfull,Swimmer-v5,0.05,25,500.0,488.0,201.0,2.487562189054726,2.427860696517413,0.03116623938083645,0.6775535845756531,0.999417172,0.6555092051803355,8235450.736601556
bootfull,Swimmer-v5,0.1,25,1000.0,952.0,201.0,4.975124378109452,4.736318407960199,0.030787660554051355,0.8057074642181397,0.9995421096,0.6323521034017471,8235450.736601556
bootfull,Swimmer-v5,0.2,25,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,0.030661327838897665,0.8743609189987183,0.9996515995999999,0.6255920908625326,8235450.736601556
bootfull,Swimmer-v5,0.3,25,3000.0,2592.0,201.0,14.92537313432836,12.895522388059698,0.03060152515769,0.9129937767982483,0.9997261166,0.6165377614272306,8235450.736601556
bootfull,Swimmer-v5,0.5,25,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,0.030591029748320526,0.949011299610138,0.9997211319999999,0.615430589082428,8235450.736601556
bootfull,Swimmer-v5,0.99,25,9900.0,6284.0,201.0,49.25373134328358,31.2636815920398,0.030573957711458162,0.9891498446464538,0.9997442682000001,0.6170269456419233,8235450.736601556
bootfull,Walker2d-v5,0.0,25,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,0.6077887630462646,3.117333402633667,0.9975258252,0.35778147651077136,798910.5746813399
bootfull,Walker2d-v5,0.01,25,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.6788388633728027,1.8448248958587647,0.980743264,0.30607249446440843,798910.5746813399
bootfull,Walker2d-v5,0.02,25,200.0,198.0,201.0,0.9950248756218906,0.9850746268656717,0.671763026714325,1.7561473798751832,0.9929791576,0.39867427622021234,798910.5746813399
bootfull,Walker2d-v5,0.03,25,300.0,296.0,201.0,1.492537313432836,1.472636815920398,0.6357989740371705,1.7001129388809204,0.9959103036000001,0.3605024106581872,798910.5746813399
bootfull,Walker2d-v5,0.05,25,500.0,488.0,201.0,2.487562189054726,2.427860696517413,0.618987398147583,1.9083218479156494,0.9970760178,0.3449001873865175,798910.5746813399
bootfull,Walker2d-v5,0.1,25,1000.0,952.0,201.0,4.975124378109452,4.736318407960199,0.6114503812789917,2.326717481613159,0.9979007964000001,0.3476203548259676,798910.5746813399
bootfull,Walker2d-v5,0.2,25,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,0.6090831089019776,2.6789197969436644,0.9979836412,0.3512627796707197,798910.5746813399
bootfull,Walker2d-v5,0.3,25,3000.0,2592.0,201.0,14.92537313432836,12.895522388059698,0.6084552240371705,2.789274320602417,0.9978751664000001,0.3579868829347779,798910.5746813399
bootfull,Walker2d-v5,0.5,25,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,0.6080512571334838,2.9123146629333494,0.9978284168,0.3576284924605963,798910.5746813399
bootfull,Walker2d-v5,0.99,25,9900.0,6284.0,201.0,49.25373134328358,31.2636815920398,0.6079048776626587,2.980958366394043,0.997790535,0.3557604517836825,798910.5746813399
bootstrap,Ant-v5,0.0,27,4096.0,4096.0,201.0,20.37810945273632,20.37810945273632,0.5893944810937952,1.0646040274037256,0.9967174533333334,0.7942470470786718,218815851.92644486
bootstrap,Ant-v5,0.05,27,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,0.6420240269766914,1.0347339378462896,0.9973428092592592,0.8384056048098645,218815851.92644486
bootstrap,Ant-v5,0.075,27,307.0,296.0,201.0,1.5273631840796023,1.4726368159203977,0.6338691910107931,1.0983228352334764,0.9976463425925927,0.8339461637117795,218815851.92644486
bootstrap,Ant-v5,0.1,27,409.0,389.0,201.0,2.0348258706467663,1.935323383084577,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765,218815851.92644486
bootstrap,Ant-v5,0.15,27,614.0,570.0,201.0,3.0547263681592045,2.8358208955223883,0.6182719535297818,1.1132442553838093,0.9981052214814815,0.8397340111476064,218815851.92644486
bootstrap,Ant-v5,0.2,27,819.0,742.0,201.0,4.074626865671642,3.691542288557214,0.6138689716657003,1.1296009200590629,0.998337617037037,0.8445933797681072,218815851.92644486
