environment,factor,factor_value,id_rmse,far_nll,far_auroc,far_spearman
HumanoidStandup-v5,layer,multi,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,rank,1,41.286827581900134,6.091662424582022,0.9069530612962962,0.7135681027590074
HumanoidStandup-v5,rank,10,41.331161428380895,5.880837475811994,0.9280371270370371,0.7114352070429781
HumanoidStandup-v5,rank,15,41.381894994665075,5.900697019365099,0.9284742653703703,0.7024633892070048
HumanoidStandup-v5,rank,2,41.44324203773781,5.930758246669063,0.9247923422222222,0.7109842415829697
HumanoidStandup-v5,rank,20,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,rank,30,41.37834280508536,5.872362101519549,0.9279383311111111,0.7148011522742871
HumanoidStandup-v5,rank,40,41.345908059014214,5.873625878934507,0.9263073279629629,0.7136961774070008
HumanoidStandup-v5,rank,5,41.33815567581742,5.849008206967954,0.9274841157407407,0.717631356488026
HumanoidStandup-v5,ridge,0.0,41.07605955335829,6.598382296385588,0.8666143392592592,0.7678305307416338
HumanoidStandup-v5,ridge,0.0001,82.86670381051523,6.536127779218885,0.9675387746296297,0.8359561688146491
HumanoidStandup-v5,ridge,0.0003,51.99070400661893,6.086427211761475,0.9623874409259259,0.7840218567679714
HumanoidStandup-v5,ridge,0.001,42.95100812558775,5.8349423231901945,0.9536846574074075,0.731830711509028
HumanoidStandup-v5,ridge,0.003,41.755958769056534,5.778960386912028,0.9428732401851853,0.7154107460978594
HumanoidStandup-v5,ridge,0.01,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,ridge,0.1,41.117890181364835,6.336493156574391,0.8883811912962961,0.7489497279197189
HumanoidStandup-v5,ridge,1.0,40.99590591148094,7.094527085622151,0.8373938101851851,0.7789654903556633
HumanoidStandup-v5,ridge,1e-05,585.6609759860569,7.398119290669759,0.973615831111111,0.9041885706032466
HumanoidStandup-v5,scale,0.25x,40.90081737659596,8.422907193501791,0.7677394711111112,0.7198722831770249
HumanoidStandup-v5,scale,0.5x,41.047751038162794,6.83764793254711,0.8580184877777777,0.7064681489997318
HumanoidStandup-v5,scale,0.75x,41.21181035924841,6.173904330642135,0.9046232237037036,0.7072373924335307
HumanoidStandup-v5,scale,1.0x,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,scale,1.5x,41.53458305641457,5.629409754717791,0.9500290499999999,0.7271980660086621
HumanoidStandup-v5,scale,2.0x,42.092817306518555,5.556919433452465,0.960292535,0.7345601748333573
HumanoidStandup-v5,scale,4.0x,41.83086451777705,5.462116453382704,0.9676706459259259,0.7556876724247521
InvertedDoublePendulum-v5,bootstrap,0.0,0.034517091376563676,1.9529455258296087,0.9975020728846155,0.9787690459580557
InvertedDoublePendulum-v5,bootstrap,0.05,0.042665558795516305,1.4183602333068848,0.9957522492307691,0.9338810579870973
InvertedDoublePendulum-v5,bootstrap,0.075,0.09790216321842028,2.420791813960442,0.995250916923077,0.9780818110522015
InvertedDoublePendulum-v5,bootstrap,0.1,0.11023159353778912,2.471330083333529,0.9958591861538462,0.9748043951264785
