factor,environment,metric,anchor_value,factor_value,n_paired_seeds,mean_diff,ci95_lo,ci95_hi,materially_worse
scale,Swimmer-v5,far_auroc,8.0,16.0,27,-0.00023970444444443295,-0.002353941034635335,0.001874532145746469,False
scale,Swimmer-v5,far_auroc,8.0,32.0,27,0.0011106512962962998,-0.0007677078978252472,0.002989010490417847,False
scale,Swimmer-v5,far_spearman,8.0,2.0,27,-0.10581356577865117,-0.1597004280418831,-0.05192670351541923,True
scale,Swimmer-v5,far_spearman,8.0,4.0,27,-0.10047214998624855,-0.15050622054143778,-0.05043807943105933,True
scale,Swimmer-v5,far_spearman,8.0,6.0,27,-0.08884972783813806,-0.14149550547985296,-0.036203950196423154,True
scale,Swimmer-v5,far_spearman,8.0,12.0,27,0.1671217175027144,0.11166830037966274,0.22257513462576606,False
scale,Swimmer-v5,far_spearman,8.0,16.0,27,0.18165265552602264,0.11824289540413709,0.2450624156479082,False
scale,Swimmer-v5,far_spearman,8.0,32.0,27,0.17347489187679824,0.12138122640410842,0.22556855734948805,False
scale,Walker2d-v5,id_rmse,16.0,4.0,27,-0.03006232226336444,-0.03143095511159875,-0.028693689415130133,False
scale,Walker2d-v5,id_rmse,16.0,8.0,27,-0.01836733685599433,-0.019037481437271585,-0.017697192274717072,False
scale,Walker2d-v5,id_rmse,16.0,12.0,27,-0.008391128646002876,-0.00872695848739943,-0.008055298804606321,False
scale,Walker2d-v5,id_rmse,16.0,24.0,27,0.011484179231855605,0.010934474025472284,0.012033884438238926,False
scale,Walker2d-v5,id_rmse,16.0,32.0,27,0.01795924151385272,0.017204431512213028,0.018714051515492415,False
scale,Walker2d-v5,id_rmse,16.0,64.0,27,0.02530247856069494,0.024158042634938842,0.02644691448645104,False
scale,Walker2d-v5,far_nll,16.0,4.0,27,4.765048989543208,4.376707709016218,5.153390270070199,True
scale,Walker2d-v5,far_nll,16.0,8.0,27,1.5399934892301206,1.3912271538501848,1.6887598246100564,True
scale,Walker2d-v5,far_nll,16.0,12.0,27,0.46877525470874926,0.40919467140221333,0.5283558380152852,True
scale,Walker2d-v5,far_nll,16.0,24.0,27,-0.34801322000998053,-0.39265116166815534,-0.3033752783518057,False
scale,Walker2d-v5,far_nll,16.0,32.0,27,-0.4467781296482793,-0.5009184193987453,-0.39263783989781326,False
scale,Walker2d-v5,far_nll,16.0,64.0,27,-0.5030310904538191,-0.5726674530780951,-0.4333947278295431,False
scale,Walker2d-v5,far_auroc,16.0,4.0,27,-0.019644204814814797,-0.02244338622642123,-0.016845023403208363,False
scale,Walker2d-v5,far_auroc,16.0,8.0,27,-0.004370910185185157,-0.005170170528676656,-0.0035716498416936576,False
scale,Walker2d-v5,far_auroc,16.0,12.0,27,-0.0010197735185185177,-0.0012729454480996066,-0.0007666015889374288,False
scale,Walker2d-v5,far_auroc,16.0,24.0,27,0.0006462035185185219,0.00038675278643689583,0.0009056542506001479,False
scale,Walker2d-v5,far_auroc,16.0,32.0,27,0.0008307238888888867,0.0004926267241720045,0.0011688210536057687,False
scale,Walker2d-v5,far_auroc,16.0,64.0,27,0.0009124159259259303,0.0005724608953945514,0.0012523709564573092,False
scale,Walker2d-v5,far_spearman,16.0,4.0,27,-0.008125471522069798,-0.02038111730158159,0.004130174257441993,False
scale,Walker2d-v5,far_spearman,16.0,8.0,27,0.005057343639739093,-0.002421293914679941,0.012535981194158127,False
scale,Walker2d-v5,far_spearman,16.0,12.0,27,0.006312741857187144,-4.326373057067685e-06,0.012629810087431356,False
scale,Walker2d-v5,far_spearman,16.0,24.0,27,-0.0021160191692071667,-0.010988520866767548,0.006756482528353214,False
scale,Walker2d-v5,far_spearman,16.0,32.0,27,-0.004094599931278792,-0.01535061610698018,0.007161416244422596,False
scale,Walker2d-v5,far_spearman,16.0,64.0,27,-0.013600782992506034,-0.029648902458826367,0.002447336473814298,False
rank,Ant-v5,id_rmse,20.0,1.0,27,0.00666509955017655,-0.00450669942531618,0.01783689852566928,False
rank,Ant-v5,id_rmse,20.0,2.0,27,0.004204518265194363,-0.00740935458017294,0.015818391110561665,False
rank,Ant-v5,id_rmse,20.0,5.0,27,-0.004562057830669262,-0.01311275685994645,0.003988641198607926,False
rank,Ant-v5,id_rmse,20.0,10.0,27,0.0005347618350276241,-0.00444154145704308,0.005511065127098328,False
rank,Ant-v5,id_rmse,20.0,15.0,27,-0.0011527692830121076,-0.011892690470176197,0.009587151904151981,False
rank,Ant-v5,id_rmse,20.0,30.0,27,-0.0029512820420441806,-0.010331213625408672,0.004428649541320311,False
rank,Ant-v5,id_rmse,20.0,40.0,27,-0.007030818197462294,-0.018541876903263074,0.004480240508338486,False
rank,Ant-v5,far_nll,20.0,1.0,27,0.01207051674524945,-0.022155770477578537,0.046296803968077435,False
