environment,seed,factor,factor_value,factor_value_numeric,anchor_value,relative_to_anchor,status,error_message,git_commit,ridge_center,scale,subspace_dimension_K,ensemble_size_M,bootstrap_fraction,calibration_size,calibration_pool_size,per_member_calibration_size,unique_calibration_rows,feature_dimension_p,nominal_n_over_p,unique_n_over_p,layer_scope,direction_family,id_rmse,id_nll,id_total_variance,id_residual,near_rmse,near_nll,near_auroc,mid_rmse,mid_nll,mid_auroc,far_rmse,far_nll,far_auroc,far_spearman,construction_time_sec,gram_rank,gram_min_eig,gram_condition,normalized_ridge,mean_delta_w_norm,notes
Swimmer-v5,500,bootstrap,0.2,0.2,0.05,4.0,ok,,70fb480,zero,8.0,20,50,0.2,819,4096,819,742,201,4.074626865671642,3.691542288557214,multi,random,0.018957290798425674,-2.274282217025757,0.00295279617421329,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.5387552380561829,0.7054264545440674,0.99979148,0.650547056595132,0.9240362644195557,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,bootstrap,0.3,0.3,0.05,5.999999999999999,ok,,70fb480,zero,8.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,multi,random,0.018941879272460938,-2.281787633895874,0.002885812195017934,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.5338969230651855,0.6747739911079407,0.99974375,0.6741709889537549,0.9299886226654053,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,bootstrap,0.5,0.5,0.05,10.0,ok,,70fb480,zero,8.0,20,50,0.5,2048,4096,2048,1612,201,10.189054726368159,8.019900497512438,multi,random,0.01883411407470703,-2.2875421047210693,0.0027616710867732763,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.5482261776924133,0.7375215888023376,0.99988641,0.718730652399619,0.9133470058441162,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,bootstrap,0.99,0.99,0.05,19.799999999999997,ok,,70fb480,zero,8.0,20,50,0.99,4055,4096,4055,2574,201,20.17412935323383,12.805970149253731,multi,random,0.01880469173192978,-2.2912113666534424,0.0027039821725338697,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.538718581199646,0.8043380379676819,0.99990786,0.6609838042217527,0.9210324287414551,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,bootstrap,0.075,0.075,0.05,1.4999999999999998,ok,,70fb480,zero,8.0,20,50,0.075,307,4096,307,296,201,1.527363184079602,1.472636815920398,multi,random,0.020949913188815117,-2.189620018005371,0.004147048108279705,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.555095374584198,0.6374830603599548,0.99956371,0.7411753706664241,0.906949520111084,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,bootstrap,0.15,0.15,0.05,2.9999999999999996,ok,,70fb480,zero,8.0,20,50,0.15,614,4096,614,570,201,3.054726368159204,2.8358208955223883,multi,random,0.01974935457110405,-2.2627248764038086,0.003106053452938795,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.5251649022102356,0.6198970675468445,0.9996793199999999,0.7048799187072576,1.0774774551391602,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,ridge,0.0,0.0,0.0001,0.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.0271992776542902,-1.9595599174499512,0.010499960742890835,0.014308296460322402,NA,NA,NA,NA,NA,NA,0.5718519687652588,1.0819283723831177,0.99920628,0.732031887276907,1.5022048950195312,201,0.06324468994564712,6904035.148108384,0.0,7.984094142913818,
Swimmer-v5,500,ridge,0.0001,0.0001,0.0001,1.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.03132136911153793,-1.8881579637527466,0.02636897563934326,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.6829827427864075,1.2775636911392212,0.99788955,0.7507455027682118,0.5743331909179688,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Swimmer-v5,500,ridge,0.001,0.001,0.0001,10.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.02115282043814659,-2.198256492614746,0.0037191060837358236,0.014305348567488125,NA,NA,NA,NA,NA,NA,0.5383065938949585,0.6756813526153564,0.99950876,0.7045280109856209,0.5615050792694092,201,0.06324468994564712,6796570.482095529,1.8921746375428893e-07,7.984094142913818,
Swimmer-v5,500,ridge,0.01,0.01,0.0001,100.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.020533448085188866,-2.2387285232543945,0.003164192195981741,0.014285880334528751,NA,NA,NA,NA,NA,NA,0.5362868309020996,1.005071997642517,0.99961647,0.6301436890807794,0.5890829563140869,201,0.06324468994564712,5961436.557926396,1.8921714152560035e-06,7.984094142913818,
