factor,environment,metric,anchor_value,anchor_metric,curve_min,curve_max,curve_range,n_swept_values,min_seeds_per_value,verdict
bootstrap,InvertedPendulum-v5,far_spearman,0.05,0.72573337910235,0.52609321436092,0.72573337910235,0.19964016474142998,9,26,sharp
bootstrap,Pusher-v5,id_rmse,0.1,0.054730357888799396,0.054071263911632333,0.05852494775675805,0.004453683845125719,9,26,worse
bootstrap,Pusher-v5,far_nll,0.1,0.7112529140252334,0.7078931767206925,1.184429136606363,0.47653595988567055,9,26,worse
bootstrap,Pusher-v5,far_auroc,0.1,0.9999968969230769,0.9996495107692307,0.9999998926923077,0.00035038192307701443,9,26,flat
bootstrap,Pusher-v5,far_spearman,0.1,0.8618079807495025,0.7595695266070049,0.9148684923387843,0.15529896573177937,9,26,sharp
bootstrap,Reacher-v5,id_rmse,0.05,0.08917244294515017,0.08480571840818106,0.08917244294515017,0.0043667245369691104,9,26,flat
bootstrap,Reacher-v5,far_nll,0.05,0.09348944975779604,0.023992859865896967,1.256798083965595,1.232805224099698,9,26,sharp
bootstrap,Reacher-v5,far_auroc,0.05,0.9932317342307692,0.9885757603846154,0.9932317342307692,0.004655973846153794,9,26,flat
bootstrap,Reacher-v5,far_spearman,0.05,0.8758561766018444,0.8758561766018444,0.8906060652293051,0.014749888627460628,9,26,flat
bootstrap,Swimmer-v5,id_rmse,0.05,0.06351186983563278,0.029883428580231096,0.06351186983563278,0.03362844125540169,9,27,flat
bootstrap,Swimmer-v5,far_nll,0.05,1.450780612451059,0.6313997838232253,1.450780612451059,0.8193808286278337,9,27,flat
bootstrap,Swimmer-v5,far_auroc,0.05,0.995208498888889,0.995208498888889,0.9997288492592593,0.004520350370370352,9,27,flat
bootstrap,Swimmer-v5,far_spearman,0.05,0.7310512229953162,0.6155175950228126,0.7310512229953162,0.11553362797250366,9,27,sharp
bootstrap,Walker2d-v5,id_rmse,0.3,0.6138927053522181,0.6111033073178044,0.6739483674367269,0.06284506011892255,9,27,worse
bootstrap,Walker2d-v5,far_nll,0.3,2.390735723354198,1.7004799533773352,3.0078528192308216,1.3073728658534864,9,27,sharp
bootstrap,Walker2d-v5,far_auroc,0.3,0.9977864733333334,0.9930700001851852,0.9979024744444445,0.004832474259259256,9,27,flat
bootstrap,Walker2d-v5,far_spearman,0.3,0.3533004039871244,0.3427604976999099,0.408475580897616,0.06571508319770608,9,27,flat
ridge,Ant-v5,id_rmse,0.0001,0.6303842067718506,0.5829855159476951,1.044565408318131,0.46157989237043595,9,27,sharp
