environment,factor,id_rmse_range,far_nll_range,far_auroc_range,far_spearman_range,id_rmse_anchor,far_nll_anchor,far_auroc_anchor,far_spearman_anchor
HumanoidStandup-v5,rank,0.0037850663571878237,0.24265421761406802,0.021521204074074096,0.01516796728102121,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,bootstrap,1.045547129958282,2.894836143211082,0.2159970740740742,0.30868153460079706,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,calib,554.0704983225044,6.137565224258988,0.12971288240740741,0.3210907490075363,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,ridge,13.180325447758479,1.6191589037577305,0.13622202092592595,0.18877782450538727,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
HumanoidStandup-v5,layer,0.0009751960463040661,0.9019199830514415,0.05131050222222211,0.03156375014247692,41.32409872832122,5.865887995119448,0.9276984707407407,0.7170697647327373
Swimmer-v5,scale,13.468896454740188,3.8050782702587265,0.006439508703703578,0.2874662213046739,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,rank,0.6107857870506861,0.33697828981611466,0.002274068888888814,0.09072322168016411,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,bootstrap,0.5294827776670924,0.8193808286278337,0.004520350370370019,0.11553362797250366,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,calib,0.6053137544279954,0.8566870258914099,0.009806169814814969,0.1872501809714795,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,ridge,9.990908742711534,3.636279081856763,0.0042275179629628346,0.4758601456940115,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Swimmer-v5,layer,0.06615443356637273,0.1401465336481731,2.8536851852001277e-05,0.05718234425350632,0.06351186983563283,1.450780612451059,0.9952084988888891,0.7310512229953162
Reacher-v5,scale,1.752386360645564,1.4050453889828463,0.015504125576923267,0.05579113617434783,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,rank,0.024696477063440664,0.005016239359974861,0.00015457615384628642,0.01462484388424401,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,bootstrap,0.048969439355329464,1.232805224099698,0.004655973846153794,0.014749888627460739,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,calib,0.08228639746972168,0.14817842678166926,0.02669272519230792,0.052117526249982116,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,ridge,2.8031551223836857,1.6324699156516893,0.03977095692307697,0.026718230981039537,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Reacher-v5,layer,0.024598514969989018,0.0762357502602614,0.0006397444230769045,0.08580095965456758,0.08917244294515023,0.09348944975779606,0.9932317342307692,0.8758561766018444
Pusher-v5,scale,0.045475942175866015,2.1813953885665307,0.003695075576923057,0.18489489113509439,0.054730357888799444,0.7112529140252334,0.9999968969230768,0.8618079807495025
Pusher-v5,rank,0.020978539645540244,0.11206468022786653,1.671730769203794e-05,0.06004593064157371,0.054730357888799444,0.7112529140252334,0.9999968969230768,0.8618079807495025
