sweep,value,is_default,env,seed,family,k,M,subset,lambda_reg,bootstrap_frac,layer_scope,perturbation_size,size_selected_by_valnll,rmse_val,nll_val,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far,train_time,eval_time
ridge,100.0,False,HalfCheetah-v5,0,random,20,50,10000,100.0,0.1,multi,50.0,True,1.6829733848571777,0.22883720695972443,1.5921885967254639,0.18071240186691284,4.219051361083984,2.3611974716186523,1.6821441650390625,0.74386451,0.8954597849999999,0.977286735,10.054606199264526,0.2170274257659912
layer,single-block-L0,False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,10.0,True,1.6504722833633423,0.1857118010520935,1.5534406900405884,0.13524460792541504,3.711672782897949,2.3032007217407227,1.6469191312789917,0.7290770499999999,0.9187340800000001,0.98829294,11.992689847946167,0.1583704948425293
layer,"multi-block-L0,2*",True,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6492201089859009,0.1794600784778595,1.5528628826141357,0.13088813424110413,3.435724973678589,2.225062847137451,1.6341228485107422,0.73245987,0.9269826000000001,0.9889599799999998,12.019473791122437,0.39479780197143555
scale,0.25x(=1.25),False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,1.25,False,1.611535668373108,0.11511988937854767,1.7609845399856567,0.9183257222175598,4.915327072143555,2.707026481628418,3.241459608078003,0.63035305,0.80277275,0.973473255,10.123276233673096,0.20906901359558105
scale,0.5x(=2.5),False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,2.5,False,1.6135597229003906,0.10367126017808914,1.7604479789733887,0.624764084815979,3.4100441932678223,2.4641990661621094,2.4652063846588135,0.65066592,0.8433685149999999,0.9754776400000001,10.123276233673096,0.22359728813171387
scale,1.0x(=5.0),True,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6159673929214478,0.10202678292989731,1.7610417604446411,0.4761899709701538,2.6815383434295654,2.2240827083587646,2.212005138397217,0.676958965,0.89723277,0.97742987,10.123276233673096,0.20869874954223633
scale,2.0x(=10.0),False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,10.0,False,1.6233645677566528,0.10866259038448334,1.7669482231140137,0.37695252895355225,2.1017067432403564,2.0332095623016357,2.048362970352173,0.7059007099999999,0.9366465450000001,0.9784433,10.123276233673096,0.19643497467041016
scale,4.0x(=20.0),False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,20.0,False,1.6267635822296143,0.11507407575845718,1.769520878791809,0.3429696559906006,1.9378912448883057,1.9514834880828857,1.9831116199493408,0.7285130350000001,0.9510680600000001,0.979205825,10.123276233673096,0.2195432186126709
rank,1,False,HalfCheetah-v5,10,random,1,50,10000,0.0,0.1,multi,5.0,True,1.6221109628677368,0.11569157987833023,1.7673803567886353,0.4788568913936615,2.744072914123535,2.254181146621704,2.2377657890319824,0.6732902350000001,0.8941543649999999,0.97643457,10.371504068374634,0.2187361717224121
rank,2,False,HalfCheetah-v5,10,random,2,50,10000,0.0,0.1,multi,5.0,True,1.6186326742172241,0.10380598902702332,1.7667794227600098,0.4104321599006653,2.424983501434326,2.2397139072418213,2.1225712299346924,0.67675967,0.89944421,0.9768326799999999,9.921126127243042,0.2149639129638672
rank,5,False,HalfCheetah-v5,10,random,5,50,10000,0.0,0.1,multi,5.0,True,1.617526888847351,0.10165480524301529,1.7622382640838623,0.4563647508621216,2.592773914337158,2.233705997467041,2.1889350414276123,0.67806392,0.89783791,0.9776811950000001,10.270303726196289,0.21089529991149902
rank,20,True,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6159673929214478,0.10202678292989731,1.7610417604446411,0.4761899709701538,2.6815383434295654,2.2240827083587646,2.212005138397217,0.676958965,0.89723277,0.97742987,14.285759925842285,0.40647435188293457
rank,40,False,HalfCheetah-v5,10,random,40,50,10000,0.0,0.1,multi,5.0,True,1.6178312301635742,0.10200735181570053,1.7623248100280762,0.44552168250083923,2.544567108154297,2.2384696006774902,2.177104949951172,0.6796666150000001,0.89667301,0.97761691,13.482007026672363,0.2047271728515625
bootstrap,0.0,False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.0,multi,5.0,True,1.6131725311279297,0.11310708522796631,1.7611451148986816,1.010188102722168,5.449393272399902,2.526621103286743,3.88647198677063,0.65517783,0.845339335,0.9743577299999999,12.667410135269165,0.20371699333190918
bootstrap,0.1,True,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6159673929214478,0.10202678292989731,1.7610417604446411,0.4761899709701538,2.6815383434295654,2.2240827083587646,2.212005138397217,0.676958965,0.89723277,0.97742987,14.285759925842285,0.40647435188293457
