r_target,realized_r_median,realized_r_min,realized_r_max,lambda,M,n_cal,top1,top1_std,delta_top1_pp,lcb_pp,ucb_pp,bootstrap_point_pp,seed_spread_pp,top5,nll,nll_std,ece,ece_std,brier,base_agreement,mean_pred_entropy,logit_mse_mean,logit_mse_median,logit_mse_p90,logit_mse_p95,logit_mse_p99,calib_residual,heldout_cls_residual,unc_top1,unc_delta_top1_pp,unc_nll,unc_ece,unc_base_agreement,unc_logit_mse_median,unc_logit_mse_p99,all_finite,pathology,pass_strict,pass_primary,pass_relaxed
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,1000.0,10,32768,0.9372965494791666,0.0003072035496122538,-0.09358723958333703,-0.2034505208333334,0.01220703124999998,-0.09358723958333337,0.06103515625,0.9945068359375,0.21366552343557066,0.0003639923730162739,0.005461392888047666,0.00035892735556841265,0.0922451424534834,0.9933675130208334,0.27134727838494666,0.02739015833948565,0.015318557538958678,0.06874272007730313,0.092086126324334,0.13945296868374193,0.42373862805122836,0.436023435311449,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,True,True,True
1.25,1.2500061551334198,0.7261562570434442,1.5736787791857547,10000.0,10,32768,0.9374186197916666,0.0006723108578230105,-0.08138020833333703,-0.1953125,0.02848307291666661,-0.08138020833333337,0.13427734375,0.9943033854166666,0.2188326121754919,0.0008110564034049102,0.012328557964324425,0.0007314964531543246,0.09209027611704375,0.992919921875,0.3420801615445394,0.0423392591155586,0.02554314693534912,0.101381974683122,0.13451720300880765,0.20458175882936325,0.5562723129521695,0.5597171379896778,0.9377848307291666,-0.044759114583337034,0.21979233761935404,0.008323675628728456,0.991943359375,0.041771093514892714,0.2816407799229566,True,,True,True,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,0.001,10,32768,0.931884765625,0.0005320921561939299,-0.634765625,-0.8178710937500002,-0.4557291666666667,-0.6347656250000001,0.09765625,0.9939778645833334,0.22831625025402555,0.0008184284122644926,0.009975462296377155,0.0004960859653179644,0.09939976316667866,0.9849853515625,0.23382469203999492,0.0226759571427939,0.010310545195082137,0.06260310000526441,0.08776051492290449,0.13496554691943832,0.3146031665410009,0.37248727548472055,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,False,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,0.01,10,32768,0.931884765625,0.0005320921561939299,-0.634765625,-0.8178710937500002,-0.4557291666666667,-0.6347656250000001,0.09765625,0.9939778645833334,0.2283144138286468,0.0008182882529879649,0.009975615411365928,0.0004959842439416686,0.09939912982438387,0.9849853515625,0.2338227640846243,0.02267383522445089,0.01030982518437753,0.06259758450274318,0.08775601383077679,0.13493929779641614,0.31460324382498134,0.3724733449787112,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,False,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,0.1,10,32768,0.9319254557291666,0.000576881790314039,-0.630696614583337,-0.8138020833333334,-0.45166015625,-0.6306966145833334,0.10986328125,0.9940185546875,0.22829663729104435,0.0008170977209021981,0.009957833048047822,0.0004964043365931516,0.09939285736887893,0.9850260416666666,0.2338074025764243,0.022655477356548815,0.010305640369384791,0.06254953966700294,0.08764220976999021,0.13480533805245437,0.31460856940643206,0.37234863969128035,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,False,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,1.0,10,32768,0.9319661458333334,0.000626416191338731,-0.626627604166663,-0.8097330729166667,-0.44759114583333337,-0.6266276041666667,0.1220703125,0.9940185546875,0.2281360993018047,0.0008127438954353304,0.010126744536137591,0.0007706753297460564,0.09933109820076425,0.9850667317708334,0.23374654626411343,0.022543963343218936,0.01027293182091254,0.062208517449828325,0.08707036021541233,0.13385173123129723,0.31477280469032465,0.37155222278346706,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,False,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,10.0,10,32768,0.9324137369791666,0.000372930964758776,-0.581868489583337,-0.7649739583333333,-0.40690104166666663,-0.5818684895833334,0.0732421875,0.9940592447916666,0.22683686148150153,0.0008051823024546841,0.00984131185218553,0.000747825397026347,0.09879391798822813,0.9856363932291666,0.23408563763265064,0.022195136372480728,0.010245453089724004,0.06101022494259283,0.08504837130661173,0.13058291935761615,0.31736623220937893,0.3690073716513891,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,False,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,100.0,10,32768,0.9337972005208334,0.001100891052935277,-0.44352213541666297,-0.6062825520833333,-0.28889973958333337,-0.4435221354166667,0.2197265625,0.9942220052083334,0.22139682917676584,0.0006806521734986134,0.008067154831855163,0.0009953311558429608,0.09632434899261022,0.98828125,0.24328905176322912,0.023686556323941788,0.011632142665301161,0.06360926849042114,0.08693492353661376,0.1327925437674324,0.34834267710368944,0.3844627504475382,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,False,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,1000.0,10,32768,0.9360758463541666,0.0005082192381509113,-0.21565755208333703,-0.35400390625,-0.08544921875000004,-0.2156575520833334,0.09765625,0.9943440755208334,0.21879061998073526,0.0005252152357139447,0.008629809904410915,0.0005030824033971977,0.09347485540429179,0.99072265625,0.30452189315278,0.0380985877667887,0.02117194358106227,0.0962602852677853,0.12809244204803036,0.19273997530092057,0.49516625116667906,0.5123916255081764,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,True,True
1.5,1.500007375567753,0.8713874916316274,1.888414572295828,10000.0,10,32768,0.9363606770833334,0.0009481754718205603,-0.18717447916666297,-0.3214518229166667,-0.06103515625,-0.1871744791666667,0.18310546875,0.9943033854166666,0.2313593814113347,0.0014067951526240223,0.022241843437354147,0.0010308041139059961,0.0942665176098068,0.990478515625,0.43883801431015335,0.06366907045481789,0.038524143074397194,0.15327925978786527,0.20073207069822763,0.29995158025004454,0.6916233198596197,0.696940481470265,0.9373372395833334,-0.08951822916666297,0.2383270039864258,0.02248921680861421,0.9889322916666666,0.07045845470591441,0.4316285479832415,True,,False,True,True
