env,method,n_seeds,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far
Hopper-v5,Subspace (n=100) [relu] (T=1.0),3,0.1886+/-0.0125,2.9271+/-6.5736,4.9846+/-3.7974,16.4123+/-0.7631,5.0513+/-1.6358,0.6736+/-0.0130,0.6891+/-0.0292,0.8011+/-0.0412
Hopper-v5,Subspace + VCal (n=100) (T=0.0) [relu],5,0.1992+/-0.0141,-0.9403+/-1.3831,5.9195+/-2.1510,13.4693+/-2.5290,6.9705+/-1.2544,0.6424+/-0.0212,0.6824+/-0.0314,0.7725+/-0.0293
Hopper-v5,SWAG (n=100) [relu] (scale=0.1),3,0.1743+/-0.0148,0.7768+/-3.6750,3.7529+/-2.6085,14.1083+/-0.6103,3.9322+/-0.6917,0.6831+/-0.0118,0.6937+/-0.0327,0.8120+/-0.0352
Hopper-v5,SWAG + VCal (n=100) [relu],5,0.1761+/-0.0134,-1.1414+/-1.2855,7.2358+/-1.9176,17.2204+/-2.7770,10.3449+/-1.8104,0.6468+/-0.0150,0.6702+/-0.0258,0.7921+/-0.0342
Hopper-v5,Laplace (n=100) [gelu] (prior=100000.0),1,0.1776+/-0.0000,-0.5089+/-0.0000,6.0878+/-0.0000,12.9166+/-0.0000,5.9302+/-0.0000,0.6270+/-0.0000,0.6347+/-0.0000,0.8022+/-0.0000
Hopper-v5,Laplace + VCal (n=100) [relu] (prior=100000.0),5,0.1694+/-0.0125,-1.2032+/-0.9831,4.3165+/-1.2162,11.5186+/-1.9120,7.3393+/-1.8642,0.6703+/-0.0172,0.6638+/-0.0379,0.7980+/-0.0429
Hopper-v5,Evidential (lam=0.01) [relu],5,0.1789+/-0.0173,8.1520+/-19.3665,11.7686+/-15.8499,22.5773+/-10.4165,9.2156+/-3.8510,0.6877+/-0.0235,0.6643+/-0.0537,0.8404+/-0.0222
Hopper-v5,Evidential + ESN (lam=0.01) [relu],5,0.1789+/-0.0173,8.1520+/-19.3665,11.7686+/-15.8499,22.5773+/-10.4165,9.2156+/-3.8510,0.6877+/-0.0235,0.6643+/-0.0537,0.8404+/-0.0222
Hopper-v5,Evidential + VCal (lam=0.01) [relu],5,0.1792+/-0.0176,4.6787+/-12.4894,7.9070+/-8.7601,20.5985+/-8.4262,8.5256+/-3.4588,0.6879+/-0.0234,0.6564+/-0.0517,0.8350+/-0.0169
Hopper-v5,Evidential + VCal + ESN (lam=0.01) [relu],5,0.1798+/-0.0165,6.2422+/-15.6238,9.8585+/-12.6709,19.1337+/-7.1900,8.0618+/-2.5357,0.6813+/-0.0160,0.6575+/-0.0514,0.8368+/-0.0214
Hopper-v5,"PJSVD-Multi- + Prob (Random-Proj) (k=20, n=50) [relu] (size=5.0)",5,0.3090+/-0.0283,-0.2888+/-0.0260,0.0332+/-0.0512,0.3350+/-0.1211,0.6390+/-0.2000,0.4156+/-0.0063,0.3326+/-0.0136,0.1568+/-0.0263
Hopper-v5,"PJSVD-Multi-LS + Prob (Low-Proj) (k=20, n=50, λ=0.01) [relu] (size=5.0)",1,0.1917+/-0.0000,-1.5066+/-0.0000,1.8895+/-0.0000,6.0947+/-0.0000,2.3883+/-0.0000,0.6811+/-0.0000,0.6979+/-0.0000,0.7927+/-0.0000
Hopper-v5,"PJSVD-Multi-LS + Prob (Random-Full-Proj) (k=20, n=200) [relu] (size=5.0)",1,0.1935+/-0.0000,-1.5117+/-0.0000,0.6012+/-0.0000,1.5502+/-0.0000,0.9772+/-0.0000,0.7556+/-0.0000,0.8084+/-0.0000,0.8498+/-0.0000
Hopper-v5,"PJSVD-Multi-LS + Prob (Random-Proj) (k=20, n=20) [relu] (size=20.0)",3,0.2009+/-0.0114,-1.4222+/-0.0866,0.3675+/-0.1921,0.7957+/-0.2318,0.4227+/-0.1095,0.8386+/-0.0086,0.8904+/-0.0104,0.9338+/-0.0153
Hopper-v5,"PJSVD-Multi-LS + VCal + Prob (Low-Proj) (k=20, n=50, λ=0.01) [relu] (size=5.0)",1,0.1917+/-0.0000,-1.5064+/-0.0000,1.7339+/-0.0000,5.7303+/-0.0000,2.2353+/-0.0000,0.6811+/-0.0000,0.6979+/-0.0000,0.7927+/-0.0000
Hopper-v5,"PJSVD-Multi-LS + VCal + Prob (Random-Proj) (k=20, n=50) [relu] (size=5.0)",5,0.1977+/-0.0102,-1.3925+/-0.1622,1.1463+/-0.4668,2.1226+/-0.7062,1.1989+/-0.1897,0.7686+/-0.0125,0.8233+/-0.0123,0.8775+/-0.0204
Hopper-v5,"PJSVD-Multi-LS + VCal + Prob + Boot(f=0.1) (Random-Proj) (k=20, n=50, λ=1) [relu] (size=5.0)",1,0.1971+/-0.0000,-1.4982+/-0.0000,0.9300+/-0.0000,2.2004+/-0.0000,1.4097+/-0.0000,0.7441+/-0.0000,0.7923+/-0.0000,0.8446+/-0.0000
Hopper-v5,"Hybrid PnC+DE + Prob (Random-Proj) (M=2, K=25) [relu] (5.0)",5,0.1664+/-0.0142,-1.7966+/-0.0824,0.4614+/-0.1531,1.0629+/-0.1415,0.9008+/-0.1201,0.8350+/-0.0020,0.8837+/-0.0131,0.9221+/-0.0066
Hopper-v5,"Hybrid PnC+DE + VCal + Prob (Random-Proj) (M=10, K=5) [relu] (5.0)",5,0.1581+/-0.0138,-2.0562+/-0.1948,3.6013+/-0.4339,4.7505+/-0.3736,4.1244+/-0.5771,0.8425+/-0.0101,0.8960+/-0.0066,0.9281+/-0.0045
