seed,label,stage_idx,block_idx,scale,bootstrap_frac,chunk_size,temperature,val_nll_calibrated,val_nll_uncalibrated,val_accuracy,val_ece,val_brier,base_agreement,build_secs,repro_ok
2,,1,1,50.0,0.1,16,1.3453173784757726,0.16071079671382904,0.1766323745250702,95.16,0.011945930290222121,0.07482705265283585,0.9822,26.6,True
2,,1,1,50.0,0.2,16,1.3483574636916176,0.160854771733284,0.1771819144487381,95.12,0.01270604130029682,0.0748470202088356,0.982,27.8,True
2,,2,0,100.0,0.05,16,0.8966395009518503,0.23631030321121216,0.23689182102680206,92.30000000000001,0.014731588003039366,0.11672604829072952,0.9408,25.3,True
2,,2,0,100.0,0.1,16,1.1125100506998251,0.16477814316749573,0.1656496822834015,94.42,0.007824681138992267,0.08223430067300797,0.9702,25.8,True
2,,2,0,100.0,0.2,16,1.1966517851030347,0.16479171812534332,0.1680586189031601,94.44,0.01080290710330013,0.08073873817920685,0.9706,27.1,True
2,,2,0,25.0,0.05,16,1.006873507879628,0.18249785900115967,0.1825008988380432,94.0,0.008334083980321923,0.0895671620965004,0.961,25.0,True
2,,2,0,25.0,0.1,16,1.1588490209424058,0.14987435936927795,0.15178759396076202,94.94,0.007600570535659813,0.07359447330236435,0.9784,25.6,True
2,,2,0,25.0,0.2,16,1.209084074293087,0.15065690875053406,0.15448640286922455,94.98,0.008405170631408734,0.07302805036306381,0.9784,26.6,True
2,,2,0,50.0,0.05,16,0.9203841264053015,0.22476857900619507,0.22512300312519073,92.72,0.013964513877034224,0.11085720360279083,0.9472,25.5,True
2,,2,0,50.0,0.1,16,1.1181329196035603,0.16119152307510376,0.16216091811656952,94.48,0.008133532184362424,0.08022340387105942,0.9714,25.9,True
2,,2,0,50.0,0.2,16,1.197512248799126,0.16166599094867706,0.16496551036834717,94.56,0.01010160146951673,0.07913416624069214,0.9726,27.1,True
2,,2,1,100.0,0.05,16,1.1055683930171307,0.16553805768489838,0.16636712849140167,94.46,0.006329417854547491,0.08093908429145813,0.9696,25.9,True
