role,tier,sample_index,distance_mahal,distance_mahal_recovered,disagreement,sem_lo,sem_hi
scatter,id,3847,13.50161361694336,13.501616263699967,0.3281549361155309,,
scatter,id,6693,16.292747497558594,16.292754505216816,0.2840086968442229,,
scatter,id,3427,14.195516586303711,14.195521925748054,0.2137889649657995,,
scatter,id,9277,17.587133407592773,17.587146119080934,0.282638223342276,,
scatter,id,2669,10.306474685668945,10.306475693722206,0.16646078263364733,,
scatter,id,1075,10.688738822937012,10.68873730409967,0.1413472177062672,,
scatter,id,5174,9.327062606811523,9.327058705441033,0.11115932345144836,,
scatter,id,2814,11.3845853805542,11.384582414164385,0.192905853280057,,
scatter,id,9446,11.479352951049805,11.479347616555248,0.18127173422282067,,
scatter,id,4329,12.567363739013672,12.567360854893357,0.17468681772589598,,
scatter,id,3110,13.38902759552002,13.389026266841686,0.2654153150476097,,
scatter,id,699,7.892810344696045,7.892804445970842,0.07543480994179382,,
scatter,id,6879,22.479286193847656,22.47929153446436,0.4281605339747403,,
scatter,id,624,6.746438503265381,6.746432322215756,0.08508625672174179,,
scatter,id,7997,6.629691123962402,6.629685790527797,0.0927492818793808,,
scatter,id,5405,8.99901294708252,8.999006358811533,0.16022380797982105,,
scatter,id,2754,14.316709518432617,14.31670674491833,0.3080628917168818,,
scatter,id,8438,14.571125984191895,14.571121326656234,0.19819652833123377,,
scatter,id,4061,6.223841667175293,6.223836095604565,0.07085343371519524,,
scatter,id,1035,24.14281463623047,24.142808644356393,0.4773538464193153,,
scatter,id,5839,8.87476921081543,8.874762360732145,0.10931910716744812,,
scatter,id,9590,7.306695938110352,7.3066880603626965,0.07021823755977141,,
scatter,id,480,10.441268920898438,10.441259032027501,0.1957715823647683,,
scatter,id,5163,21.573535919189453,21.573523876424755,0.3022664872425969,,
scatter,id,9373,13.70522689819336,13.705215290684523,0.2891115599580602,,
scatter,id,4192,16.741802215576172,16.74178912085512,0.3543532108034638,,
scatter,id,8419,11.902276992797852,11.902265291890446,0.17414084288764364,,
scatter,id,4396,7.629354000091553,7.629341886140824,0.08949323614938225,,
scatter,id,7293,23.830156326293945,23.830136239116364,0.4013726320141394,,
scatter,id,4942,9.851249694824219,9.851235868033408,0.12672173572868425,,
scatter,id,6400,14.801145553588867,14.801128143072887,0.225874514076505,,
scatter,id,731,15.247901916503906,15.247883068178576,0.22618987629782,,
scatter,id,7871,12.901198387145996,12.901183256904426,0.22132529159428085,,
scatter,id,6852,16.987592697143555,16.987580445757878,0.2739102917235996,,
scatter,id,9980,14.918661117553711,14.918646825231987,0.20802876007127388,,
scatter,id,1674,15.407191276550293,15.407176511892747,0.24790706888895808,,
scatter,id,6466,13.589479446411133,13.58946229581738,0.23382096064978902,,
scatter,id,8061,11.46932315826416,11.469307062637634,0.14281244893170178,,
scatter,id,7738,19.656309127807617,19.656285314150747,0.3925028832182883,,
scatter,id,8946,18.99608039855957,18.99606020268163,0.38285825047688327,,
scatter,id,8645,14.013463020324707,14.013442878584092,0.19896970876715195,,
scatter,id,6382,19.828304290771484,19.828283598671657,0.41624916872428847,,
scatter,id,5549,6.159564018249512,6.159551646017953,0.06586172460508954,,
scatter,id,4656,18.103761672973633,18.103736929672326,0.34461893086747836,,
scatter,id,5999,17.147817611694336,17.14779459879228,0.30940525730983914,,
scatter,id,9164,7.790501594543457,7.790487330673651,0.13816974635821683,,
scatter,id,4835,14.568370819091797,14.568353741032933,0.21838716335005093,,
scatter,id,8668,16.829072952270508,16.82905519119869,0.2834544173964964,,
scatter,id,4069,16.28146743774414,16.28144771176571,0.2947186619240743,,
scatter,id,2537,8.04819393157959,8.048180840752922,0.11696147727075386,,
scatter,id,3086,9.580672264099121,9.580655999962577,0.15641092753764238,,
scatter,id,6953,16.830842971801758,16.830821657899623,0.3493306255812105,,
