env,seed,regime,distance_mahal,disagreement_sqrt_predvar
Hopper-v5,0,id,22.273592794444983,0.23905308586483417
Hopper-v5,0,id,15.66495593972721,0.14210905358150763
Hopper-v5,0,id,10.687602502505861,0.10369503919510387
Hopper-v5,0,id,9.03332058617073,0.08784830346005405
Hopper-v5,0,id,9.71008046406469,0.0842497757327154
Hopper-v5,0,id,11.688583952932731,0.0902624584026872
Hopper-v5,0,id,9.811352093288694,0.08699746095358002
Hopper-v5,0,id,7.422429727999651,0.08746474451994156
Hopper-v5,0,id,8.66806737751376,0.08084171247384579
Hopper-v5,0,id,8.584258450244715,0.07747158145731216
Hopper-v5,0,id,8.59772604779327,0.0895441543722937
Hopper-v5,0,id,9.228564240961596,0.07844521344963805
Hopper-v5,0,id,10.18385648105113,0.0772030220805032
Hopper-v5,0,id,8.755812564163648,0.08158505946706682
Hopper-v5,0,id,11.040650562990397,0.10242071133613782
Hopper-v5,0,id,9.37520613482015,0.0943120114567884
Hopper-v5,0,id,9.28649197043114,0.0767158803869294
Hopper-v5,0,id,9.503513252818376,0.08865189411211506
Hopper-v5,0,id,9.783626123873923,0.08368370661709894
Hopper-v5,0,id,9.91807386246951,0.08857823649823514
Hopper-v5,0,id,8.14949365415327,0.08553571410510492
Hopper-v5,0,id,10.796123626801567,0.08247909458035521
Hopper-v5,0,id,9.638749131474071,0.08980889784644593
Hopper-v5,0,id,7.575028871780946,0.08617233571943586
Hopper-v5,0,id,7.435166812032888,0.08849108410498709
Hopper-v5,0,id,8.012114295503665,0.08971529568128042
Hopper-v5,0,id,10.003118639650978,0.09454942638842527
Hopper-v5,0,id,9.198603824103634,0.0952678044066575
Hopper-v5,0,id,12.783134932970539,0.10657434342451884
Hopper-v5,0,id,11.97470799265993,0.10771982314635156
Hopper-v5,0,id,9.443789466511742,0.10861054280338824
Hopper-v5,0,id,8.603802492621517,0.12472141409957954
Hopper-v5,0,id,8.389748778999547,0.16929087275702992
Hopper-v5,0,id,8.90544079641522,0.2488624351477621
Hopper-v5,0,id,10.19794054139423,0.3133601153604401
Hopper-v5,0,id,12.333230049662415,0.368851644440396
Hopper-v5,0,id,14.75695334858459,0.1527715508469596
Hopper-v5,0,id,14.129783920569734,0.13794005402290646
Hopper-v5,0,id,16.764399500735372,0.11566840078971373
Hopper-v5,0,id,12.23352606559056,0.1356271832923245
Hopper-v5,0,id,14.246633269240453,0.12849987884341366
Hopper-v5,0,id,13.018968075851479,0.12357897980081217
Hopper-v5,0,id,11.928792807654208,0.13031190249994457
Hopper-v5,0,id,12.0116140374987,0.13785665947475897
Hopper-v5,0,id,14.088804706374383,0.12977307925784287
Hopper-v5,0,id,13.27224270052506,0.12902814708109822
Hopper-v5,0,id,11.858666211339186,0.10929547552340298
Hopper-v5,0,id,10.566758864662457,0.1099080100665628
Hopper-v5,0,id,11.060916932778245,0.12021974511772153
Hopper-v5,0,id,9.714474950351008,0.14298813146534622
Hopper-v5,0,id,9.995211099290136,0.17863520075312866
Hopper-v5,0,id,12.62284689904635,0.12681138856362223
Hopper-v5,0,id,10.083454099370371,0.10321269154157232
Hopper-v5,0,id,9.351095062933073,0.09776013094417066
Hopper-v5,0,id,7.708426260085589,0.09589054284939938
