env,seed,direction,regime,alpha,rel_lin_err_median,rel_by_actual_median,cosine_median,spearman_normlin_normact,remainder_median,norm_actual_median,norm_linear_median,cd_reldiff_eps1e-3,cd_reldiff_eps1e-2
Ant-v5,0,1,far,0.5,0.8165476322174072,0.7304577231407166,0.7069237232208252,0.9415210380259508,0.898145318031311,1.2198317050933838,1.027315378189087,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,1.0,0.8542081117630005,0.8954879641532898,0.6398706436157227,0.9646261156528915,1.8093962669372559,2.0518407821655273,2.054630756378174,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,2.0,0.9997879266738892,1.2202379703521729,0.4097632169723511,0.9506142653566341,4.187935829162598,3.361973285675049,4.109261512756348,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,5.0,1.0784919261932373,1.9833022356033325,0.10944864153862,0.8329783244581116,11.348390579223633,5.694655418395996,10.273154258728027,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,10.0,1.0390856266021729,3.2989261150360107,0.03267879784107208,0.8466436660916524,20.556781768798828,6.024532318115234,20.546308517456055,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,20.0,1.004981517791748,7.55620002746582,0.020161066204309464,0.8021375534388361,40.9893684387207,5.3001203536987305,41.09261703491211,0.03768507018685341,0.03768507018685341
Ant-v5,0,1,far,50.0,1.001164197921753,19.85472869873047,0.004083369392901659,0.7865551638790971,103.08699035644531,5.233509063720703,102.73153686523438,0.03768507018685341,0.03768507018685341
Ant-v5,0,2,id,0.05,0.16905710101127625,0.16796118021011353,0.9862189888954163,0.9904597614940375,0.0012866122415289283,0.00793474167585373,0.007783640641719103,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,0.1,0.13974204659461975,0.1379626989364624,0.9910328388214111,0.9955748893722345,0.0025625077541917562,0.01560831256210804,0.015567281283438206,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,0.25,0.2381507009267807,0.2492922693490982,0.9735709428787231,0.9853446336158405,0.011360928416252136,0.038329798728227615,0.038918204605579376,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,0.5,0.43035703897476196,0.4589449167251587,0.9066647291183472,0.9618375459386486,0.03769168257713318,0.07287747412919998,0.07783640921115875,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,1.0,0.6915431022644043,0.7732422947883606,0.7516056299209595,0.9112457811445287,0.11203290522098541,0.13503672182559967,0.1556728184223175,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,2.0,0.9433786869049072,1.2164316177368164,0.46804916858673096,0.8629010725268133,0.29518091678619385,0.22915638983249664,0.311345636844635,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,5.0,1.0510848760604858,2.123361825942993,0.16665086150169373,0.7912832820820521,0.8261067867279053,0.38733619451522827,0.7783640623092651,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,10.0,1.0357184410095215,3.4374871253967285,0.04282323271036148,0.7043291082277058,1.612478256225586,0.4685995280742645,1.5567281246185303,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,20.0,1.0134496688842773,6.049918174743652,0.022420622408390045,0.6009525238130955,3.2182655334472656,0.5692276954650879,3.1134562492370605,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,id,50.0,1.0015510320663452,13.835290908813477,0.023595232516527176,0.6332738318457962,7.8469343185424805,0.6117228269577026,7.7836408615112305,0.03576206415891647,0.03576206415891647
Ant-v5,0,2,near,0.05,0.3176880478858948,0.3076421022415161,0.9519208073616028,0.9413890347258683,0.005500782746821642,0.018791131675243378,0.017145054414868355,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,0.1,0.22654028236865997,0.2256585657596588,0.9757583141326904,0.968212705317633,0.008242989890277386,0.03517532721161842,0.03429010882973671,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,0.25,0.30823880434036255,0.31562840938568115,0.9539439082145691,0.977434935873397,0.025398630648851395,0.08157595992088318,0.08572527021169662,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,0.5,0.45703062415122986,0.4757230281829834,0.8956258893013,0.9649861246531164,0.07784213125705719,0.1615627408027649,0.17145054042339325,0.0310884527862072,0.0310884527862072
