factor,cell_key,seed,status,id_acc,id_nll,id_ece,val_nll,posthoc_temperature,near_auroc,near_fpr95,far_auroc,far_fpr95,ps,K,M,subset_size,chunk_size,lambda_reg,bootstrap_frac,stage_idx,block_idx,runtime_sec,start_utc,end_utc,output_path,note
scale,scale_ps12.5,1,ok,95.81999778747559,0.13924364745616913,0.007728151832520962,0.13816803693771362,1.1809811620477613,89.85375200000001,47.099999999999994,93.33428424003898,24.515,12.5,20,50,1024,1024,0.001,0.05,3,0,841.8,2026-07-24T03:40:14.309058+00:00,2026-07-24T03:54:16.111872+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps12.5_seed1.json,
scale,scale_ps25.0,1,ok,95.56999802589417,0.13937601447105408,0.0036786929443478585,0.1340426653623581,0.746318669415868,91.73028175,32.675,95.12991098841196,17.615,25,20,50,1024,1024,0.001,0.05,3,0,838.3,2026-07-24T03:54:16.202090+00:00,2026-07-24T04:08:14.548959+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps25.0_seed1.json,
scale,scale_ps50.0,1,ok,26.719999313354492,1.7672303915023804,0.35840446231365203,1.759248971939087,0.707830995039128,54.70268575,96.755,60.81542220855183,87.1525,50,20,50,1024,1024,0.001,0.05,3,0,837.8,2026-07-24T04:08:14.643726+00:00,2026-07-24T04:22:12.471384+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps50.0_seed1.json,
scale,scale_ps100.0,1,ok,9.999999403953552,4.52992582321167,0.7825556993246079,4.554692268371582,99.99993582370774,63.128063999999995,87.155,83.73760854712803,52.237500000000004,100,20,50,1024,1024,0.001,0.05,3,0,848.3,2026-07-24T04:22:12.565125+00:00,2026-07-24T04:36:20.851322+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps100.0_seed1.json,
rank,rank_k1,1,ok,95.24999856948853,0.1510784924030304,0.004622919005155563,0.15171876549720764,0.8836087778925297,91.0163615,35.699999999999996,94.73770408302711,18.9525,25,1,50,1024,1024,0.001,0.05,3,0,835.3,2026-07-24T04:36:20.941971+00:00,2026-07-24T04:50:16.208348+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k1_seed1.json,
rank,rank_k2,1,ok,95.47999501228333,0.1438426822423935,0.003694701859354973,0.14412826299667358,0.8341212484867494,91.41086225000001,33.9,94.87228180617038,18.42,25,2,50,1024,1024,0.001,0.05,3,0,834.3,2026-07-24T04:50:16.300683+00:00,2026-07-24T05:04:10.618916+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k2_seed1.json,
rank,rank_k5,1,ok,95.59999704360962,0.14109976589679718,0.004353978541493416,0.13712482154369354,0.7833922393665121,91.628615,32.995,95.19927948096341,17.349999999999998,25,5,50,1024,1024,0.001,0.05,3,0,840.5,2026-07-24T05:04:10.716607+00:00,2026-07-24T05:18:11.241661+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k5_seed1.json,
rank,rank_k40,1,ok,95.66999673843384,0.1390291303396225,0.006373208536207676,0.13113072514533997,0.7343940099200068,91.73745574999998,32.68,95.05759486582961,17.395,25,40,50,1024,1024,0.001,0.05,3,0,843.2,2026-07-24T05:18:11.336110+00:00,2026-07-24T05:32:14.567565+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k40_seed1.json,
calib,calib_ss256,1,ok,95.58999538421631,0.14218424260616302,0.004225268098711967,0.13497480750083923,0.7233000062335284,91.74736175,33.294999999999995,95.43428001157932,16.855,25,20,50,256,1024,0.001,0.05,3,0,835.7,2026-07-24T05:32:14.662324+00:00,2026-07-24T05:46:10.338638+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss256_seed1.json,
calib,calib_ss512,1,ok,95.60999870300293,0.14089947938919067,0.0037042953938245774,0.13306835293769836,0.7282177618409398,91.79263725,32.415,95.26809884276035,16.9075,25,20,50,512,1024,0.001,0.05,3,0,840.3,2026-07-24T05:46:10.439578+00:00,2026-07-24T06:00:10.707749+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss512_seed1.json,
calib,calib_ss2048,1,ok,40.63999950885773,1.0124307870864868,0.22286966091692448,1.01301109790802,0.43576418371468095,55.47685975000001,96.37,61.39075400464296,93.6275,25,20,50,2048,1024,0.001,0.05,3,0,857.4,2026-07-24T06:00:10.820098+00:00,2026-07-24T06:14:28.238004+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss2048_seed1.json,
calib,calib_ss4096,1,ok,93.96999478340149,0.26291054487228394,0.0772063546910882,0.27369239926338196,0.3571678153428636,89.78115700000001,39.54,93.67182237404536,19.2625,25,20,50,4096,1024,0.001,0.05,3,0,854.1,2026-07-24T06:14:28.344066+00:00,2026-07-24T06:28:42.417530+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss4096_seed1.json,
ridge,ridge_lam0,1,error,,,,,,,,,,25,20,50,1024,1024,0.0,0.05,3,0,249.7,2026-07-24T06:28:42.536270+00:00,2026-07-24T06:32:52.221565+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0_seed1.json,Input contains NaN.
ridge,ridge_lam0.0001,1,ok,91.56000018119812,0.316960871219635,0.06367231020331383,0.3261769711971283,0.26652435699716337,88.94658425,39.235,94.03744522047988,18.099999999999998,25,20,50,1024,1024,0.0001,0.05,3,0,848.6,2026-07-24T06:32:52.329912+00:00,2026-07-24T06:47:00.925434+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.0001_seed1.json,
ridge,ridge_lam0.01,1,ok,95.55999636650085,0.1388726830482483,0.004922947224974632,0.1329307109117508,0.782623609348308,91.65263875000001,33.074999999999996,95.09005507283126,17.685000000000002,25,20,50,1024,1024,0.01,0.05,3,0,845.6,2026-07-24T06:47:01.036227+00:00,2026-07-24T07:01:06.679280+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.01_seed1.json,
ridge,ridge_lam0.1,1,ok,95.58999538421631,0.13886910676956177,0.004932551431655884,0.13292841613292694,0.7838622034699353,91.65344174999998,33.040000000000006,95.10393437824585,17.7375,25,20,50,1024,1024,0.1,0.05,3,0,841.2,2026-07-24T07:01:06.788087+00:00,2026-07-24T07:15:08.009415+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.1_seed1.json,
