id_accuracy,id_brier,id_ece,id_nll,method,n,ood_aupr_in,ood_aupr_out,ood_auroc,ood_fpr95,seed,selected_scale,split,temperature
0.9860418743768694,0.3174464702606201,0.5291632065105653,0.8273425698280334,uncorrected,1003,,,,,123,4.0,id_val,0.8
0.984047856430708,0.0253889206796884,0.0082651007983644,0.0686274692416191,head_pnc,1003,,,,,123,4.0,id_val,0.8
0.984047856430708,0.0256621446460485,0.0102230497187418,0.070008635520935,mc_dropout,1003,,,,,123,4.0,id_val,0.8
0.925,0.1181347742676734,0.0316597732485501,0.3034167289733886,base_msp,3080,,,,,123,4.0,id_eval,0.8
0.925,0.1181347742676734,0.0316597732485501,0.3034167289733886,base_energy,3080,,,,,123,4.0,id_eval,0.8
0.925,0.1181347742676734,0.0316597732485501,0.3034167289733886,base_entropy,3080,,,,,123,4.0,id_eval,0.8
0.9256493506493506,0.1177834570407867,0.0312820328085066,0.3011872470378876,ffn_pnc,3080,,,,,123,4.0,id_eval,0.8
0.9214285714285714,0.3834531009197235,0.4982740092151738,1.0100317001342771,uncorrected,3080,,,,,123,4.0,id_eval,0.8
0.9253246753246752,0.1181462109088897,0.0308933426033367,0.3033948540687561,head_pnc,3080,,,,,123,4.0,id_eval,0.8
0.924025974025974,0.1145712882280349,0.0130221398208629,0.2845177948474884,mc_dropout,3080,,,,,123,4.0,id_eval,0.8
,,,,base_msp,900,0.9553584851084445,0.7694759645159813,0.8918210678210678,0.5110389610389611,123,4.0,near,0.8
,,,,base_energy,900,0.9725395378369746,0.857345221917887,0.9293109668109668,0.425,123,4.0,near,0.8
,,,,base_entropy,900,0.959342921934424,0.8095399190614077,0.9027031024531024,0.4977272727272727,123,4.0,near,0.8
,,,,ffn_pnc,900,0.9614058446862884,0.817823714147911,0.9067276334776334,0.4779220779220779,123,4.0,near,0.8
,,,,uncorrected,900,0.949678920208681,0.8138845921657872,0.8893751803751803,0.6574675324675324,123,4.0,near,0.8
,,,,head_pnc,900,0.9592036037921567,0.808098049604081,0.9018407287157288,0.4974025974025974,123,4.0,near,0.8
,,,,mc_dropout,900,0.9669054851250568,0.831076349936413,0.9165901875901876,0.4441558441558441,123,4.0,near,0.8
,,,,base_msp,3600,0.9357819604840688,0.962977053575264,0.9535660173160174,0.1941558441558441,123,4.0,cross,0.8
,,,,base_energy,3600,0.9733001593254738,0.9850106377413174,0.9800978535353536,0.0818181818181818,123,4.0,cross,0.8
,,,,base_entropy,3600,0.9468149376913324,0.9741230068219217,0.9644311868686868,0.1733766233766233,123,4.0,cross,0.8
,,,,ffn_pnc,3600,0.950883719530466,0.9765873684951476,0.9674960317460318,0.1629870129870129,123,4.0,cross,0.8
,,,,uncorrected,3600,0.9519807127436276,0.981234494157293,0.9723956529581528,0.0983766233766233,123,4.0,cross,0.8
,,,,head_pnc,3600,0.9469234762045834,0.9741236378041104,0.9643527236652236,0.1743506493506493,123,4.0,cross,0.8
,,,,mc_dropout,3600,0.9560093618120862,0.9774637745853288,0.9693981782106782,0.1558441558441558,123,4.0,cross,0.8
,,,,base_msp,1000,0.98881323010473,0.9216617905109116,0.9682702922077924,0.1399350649350649,123,4.0,far,0.8
,,,,base_energy,1000,0.995979501406354,0.9744283278118828,0.9896944805194804,0.0435064935064935,123,4.0,far,0.8
,,,,base_entropy,1000,0.9919932691786072,0.9516616165331404,0.978413961038961,0.1168831168831168,123,4.0,far,0.8
,,,,ffn_pnc,1000,0.9929889322202196,0.9577102879983536,0.9811464285714284,0.1045454545454545,123,4.0,far,0.8
,,,,uncorrected,1000,0.995771641803852,0.9742226680691464,0.9890535714285714,0.0363636363636363,123,4.0,far,0.8
,,,,head_pnc,1000,0.9918584517216528,0.9514571569586512,0.9781340909090908,0.1191558441558441,123,4.0,far,0.8
,,,,mc_dropout,1000,0.9931221952510544,0.9579090031184946,0.9815025974025974,0.1097402597402597,123,4.0,far,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_msp,1003,,,,,2026,4.0,id_val,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_energy,1003,,,,,2026,4.0,id_val,0.8
0.9830508474576272,0.0254070740193128,0.0087412268309626,0.0686229839920997,base_entropy,1003,,,,,2026,4.0,id_val,0.8
0.984047856430708,0.025601202622056,0.0100343396157353,0.0688888281583786,ffn_pnc,1003,,,,,2026,4.0,id_val,0.8
